Local,time,Open,High,Low,Close,Volume
31.12.2003,19:00:00,1.25934,1.26035,1.24679,1.25723,559789.625
01.01.2004,19:00:00,1.25701,1.26263,1.25198,1.25806,1277971.375
02.01.2004,19:00:00,1.25806,1.25806,1.25806,1.25806,0
03.01.2004,19:00:00,1.25855,1.26477,1.25779,1.26308,83720.3984
04.01.2004,19:00:00,1.26308,1.26924,1.26288,1.2682,1353480.5
05.01.2004,19:00:00,1.2682,1.28083,1.2665,1.2714,1354807.375
06.01.2004,19:00:00,1.27145,1.27404,1.26168,1.26367,1345833
07.01.2004,19:00:00,1.26353,1.27839,1.25576,1.27686,1348587.5
08.01.2004,19:00:00,1.27682,1.28665,1.27021,1.28123,1274567.875
09.01.2004,19:00:00,1.28123,1.28123,1.28123,1.28123,0
10.01.2004,19:00:00,1.28209,1.28559,1.28209,1.28467,87809.5
11.01.2004,19:00:00,1.28482,1.28956,1.27306,1.2738,1341146.625
12.01.2004,19:00:00,1.27352,1.27947,1.27114,1.27826,1347248.25
13.01.2004,19:00:00,1.27834,1.2785,1.26276,1.26504,1338836.25
14.01.2004,19:00:00,1.26501,1.26693,1.25562,1.25937,1359077.625
15.01.2004,19:00:00,1.25947,1.26071,1.23494,1.23936,1277853.75
16.01.2004,19:00:00,1.23936,1.23936,1.23936,1.23936,0
17.01.2004,19:00:00,1.23768,1.24002,1.23569,1.23822,93569.5
18.01.2004,19:00:00,1.23817,1.24226,1.23323,1.23493,1338577.25
19.01.2004,19:00:00,1.2349,1.25977,1.23411,1.25812,1348920.75
20.01.2004,19:00:00,1.25792,1.26695,1.25488,1.26529,1352647.625
21.01.2004,19:00:00,1.26541,1.27475,1.26349,1.27184,1350262.75
22.01.2004,19:00:00,1.27195,1.27732,1.25621,1.25781,1287883.375
23.01.2004,19:00:00,1.25781,1.25781,1.25781,1.25781,0
24.01.2004,19:00:00,1.25739,1.25857,1.25606,1.2567,84790.5
25.01.2004,19:00:00,1.25661,1.26095,1.24542,1.24824,1361808.375
26.01.2004,19:00:00,1.24834,1.26608,1.24391,1.26318,1316358.25
27.01.2004,19:00:00,1.26337,1.26415,1.24113,1.24345,1344328.5
28.01.2004,19:00:00,1.24349,1.25252,1.23607,1.2405,1334867.75
29.01.2004,19:00:00,1.24037,1.24897,1.23491,1.24731,1294345.125
30.01.2004,19:00:00,1.24731,1.24731,1.24731,1.24731,0
31.01.2004,19:00:00,1.24741,1.24848,1.24646,1.24721,84245.3984
01.02.2004,19:00:00,1.24704,1.24792,1.23882,1.2427,1347688.5
02.02.2004,19:00:00,1.24272,1.25967,1.24124,1.25417,1353304
03.02.2004,19:00:00,1.25392,1.25593,1.24919,1.25354,1355069.75
04.02.2004,19:00:00,1.25325,1.26348,1.25157,1.25643,1354204.625
05.02.2004,19:00:00,1.25654,1.27226,1.251,1.27,1287807.125
06.02.2004,19:00:00,1.27,1.27,1.27,1.27,0
07.02.2004,19:00:00,1.26218,1.26466,1.25963,1.26429,98487.8984
08.02.2004,19:00:00,1.2645,1.27589,1.26441,1.26872,1365285.75
